team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Houston Christian,29.0,-3.89,71.52,83.45,40.17,26.17,60.38,0.01,5.07,16.83,14.1,21.9,11.93,15.34
Howard NCAA,35.0,-8.02,74.94,74.29,40.57,24.8,55.2,0.01,8.03,21.63,17.31,23.06,11.29,15.46
Idaho,32.0,-4.69,67.81,71.19,40.16,24.53,55.56,0.01,7.59,22.69,11.16,15.22,7.94,11.47
Idaho State,34.0,-5.11,70.5,70.09,40.74,25.74,55.94,0.01,6.41,19.5,12.62,18.38,9.91,10.94
Illinois NCAA,38.0,9.54,83.37,73.34,40.26,29.05,62.0,0.01,8.34,23.89,16.92,23.0,12.79,10.55
Illinois State,32.0,0.43,66.5,67.66,40.0,23.22,54.75,0.01,6.06,20.78,14.0,19.69,10.09,11.25
Illinois-Chicago,33.0,1.30,70.27,71.55,40.76,25.58,58.39,0.01,8.7,23.94,10.42,15.15,8.21,12.36
Incarnate Word,31.0,-7.92,72.26,78.58,40.32,24.77,57.9,0.01,7.61,22.97,15.1,20.77,10.74,15.97
Indiana,33.0,9.74,72.3,74.3,40.0,26.64,56.0,0.01,5.03,15.55,14.0,21.09,8.88,12.12
Indiana State,39.0,2.26,84.85,73.18,40.13,29.26,57.9,0.01,10.95,28.69,15.38,19.33,7.15,11.59
Iona,33.0,-5.95,71.33,70.58,40.0,25.97,60.12,0.01,8.21,23.27,11.18,17.15,10.45,10.18
Iowa,34.0,9.26,83.15,79.41,40.15,30.15,63.35,0.01,6.65,18.94,16.21,20.94,9.79,9.62
Iowa State NCAA,37.0,8.51,75.32,61.54,40.0,27.08,58.49,0.01,6.65,18.57,14.51,20.68,10.62,10.46
IU Indy,32.0,-4.62,65.88,79.81,40.16,24.22,55.25,0.01,3.44,13.88,14.0,19.03,9.88,14.62
Jackson State,32.0,-7.15,71.22,75.56,40.16,24.97,60.09,0.01,6.59,20.31,14.69,20.88,13.03,13.38
Jacksonville,33.0,-4.87,71.85,72.39,40.15,25.3,58.12,0.01,6.48,19.7,14.7,20.85,12.48,13.06
Jacksonville State,32.0,-3.14,70.0,66.44,40.16,25.09,55.56,0.01,5.31,15.84,14.5,20.66,11.56,13.53
James Madison NCAA,36.0,-3.75,83.19,69.61,40.42,29.81,62.61,0.01,8.53,23.67,15.06,21.42,11.53,10.89
Kansas NCAA,34.0,11.32,75.56,69.88,40.15,28.24,57.85,0.01,5.74,17.26,13.35,18.53,8.24,11.68
Kansas City,32.0,-4.50,71.88,69.28,40.62,25.41,59.47,0.01,8.41,25.34,12.66,17.75,11.47,12.03
Kansas State,34.0,9.97,72.18,71.09,41.03,24.62,56.44,0.01,7.38,23.24,15.56,21.62,11.12,14.79
Kennesaw State,31.0,-5.84,82.84,80.77,40.32,29.29,65.65,0.01,9.42,28.65,14.84,22.0,12.26,12.06
Kent State,34.0,-2.54,74.82,71.29,40.74,26.18,59.29,0.01,8.29,23.18,14.18,19.0,11.09,11.85
Kentucky NCAA,33.0,7.46,89.03,79.7,40.45,31.97,64.61,0.01,9.91,24.24,15.18,19.67,10.06,10.67
La Salle,33.0,0.85,72.67,73.06,40.61,26.58,61.85,0.01,8.52,24.58,11.0,15.21,10.18,9.58
Lafayette,32.0,-6.01,62.81,67.31,40.62,23.25,56.97,0.01,7.09,22.75,9.22,13.69,8.72,11.62
Lamar,33.0,-8.28,77.82,72.91,40.61,27.64,61.36,0.01,7.52,21.73,15.03,20.58,12.48,12.91
Le Moyne,32.0,-9.55,72.44,70.16,40.16,25.72,59.56,0.01,9.84,28.44,11.16,14.66,8.44,11.47
Lehigh,32.0,-6.60,72.69,71.0,40.94,25.91,58.97,0.01,7.19,22.31,13.69,18.62,8.22,12.06
Liberty,32.0,-1.56,73.81,65.5,40.31,26.97,57.75,0.01,10.12,27.5,9.75,14.75,8.72,10.44
Lindenwood,31.0,-7.23,65.13,73.1,40.16,22.45,55.68,0.01,4.81,17.0,15.42,21.06,8.77,12.03
Lipscomb,32.0,-5.04,82.06,76.5,40.0,30.0,60.81,0.02,9.28,24.41,12.78,16.66,7.62,10.03
Little Rock,34.0,-8.24,77.29,72.47,40.29,28.15,59.53,0.01,6.38,18.5,14.62,19.53,10.85,12.26
Long Beach State NCAA,36.0,-1.19,77.39,75.97,40.28,27.58,62.19,0.01,5.39,17.69,16.83,23.75,12.5,12.64
Long Island University,29.0,-7.58,66.52,76.79,40.34,24.34,58.31,0.01,5.41,17.45,12.41,18.34,9.38,14.55
Longwood NCAA,35.0,-4.76,74.71,68.46,40.57,26.6,58.66,0.01,5.74,16.86,15.77,22.97,13.43,12.69
Louisiana,33.0,-2.67,75.88,71.67,40.0,27.85,61.36,0.01,7.61,22.52,12.58,17.24,11.24,11.76
Louisiana State,33.0,6.75,76.36,74.97,40.15,26.3,57.79,0.01,7.76,21.73,16.0,22.12,10.45,13.15
Louisiana Tech,32.0,-1.69,74.75,64.53,40.31,25.72,56.31,0.01,7.16,19.78,16.16,23.06,11.75,12.44
Louisiana-Monroe,30.0,-2.44,69.87,74.43,40.17,25.03,59.6,0.01,5.07,17.1,14.73,22.17,13.2,12.47
Louisville,32.0,7.51,72.0,79.06,40.16,24.97,57.28,0.01,5.47,17.84,16.59,22.25,9.94,12.81
Loyola (IL),33.0,2.42,73.09,67.52,40.3,25.91,57.58,0.01,8.3,23.48,12.97,19.06,9.61,12.82
Loyola (MD),32.0,-6.94,64.03,71.91,40.47,23.03,55.22,0.01,7.19,21.41,10.78,16.75,10.25,13.62
Loyola Marymount,31.0,0.31,72.39,71.42,40.0,25.87,57.77,0.01,8.42,22.9,12.23,16.74,9.9,10.74
Maine,32.0,-4.87,67.62,67.47,40.31,25.03,57.22,0.01,5.41,18.34,12.16,16.91,7.97,11.41
Manhattan,30.0,-4.86,66.17,75.83,40.5,24.67,59.73,0.01,7.3,23.17,9.53,13.2,9.17,13.4
Marist,31.0,-8.09,64.65,62.19,40.0,23.42,52.84,0.01,6.84,19.23,10.97,15.74,7.16,12.19
Marquette NCAA,37.0,11.02,78.05,69.81,40.14,29.14,60.97,0.01,8.84,25.08,10.95,15.57,8.7,9.97
